"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start","sub_question"
"7051","1752051632469","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","7053","0.0-0.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","2025-07-09T09:00:32.471Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17144","","","","instructions","1","24200","0.0-1.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","[{""page_index"":0,""viewing_time"":13892},{""page_index"":1,""viewing_time"":3251}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4032","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","28237","0.0-2.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4660","","","","fullscreen","3","33904","0.0-4.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35411","1752051694734"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","69317","0.0-5.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","2025-07-09T09:01:34.736Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3063","","","{""age"":""34""}","survey-text","5","72385","0.0-6.0-0.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2995","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","75382","0.0-6.0-1.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2114","","","{""assigned_sex"":""female""}","survey-multi-choice","7","77498","0.0-6.0-2.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2983","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","80483","0.0-6.0-3.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2997","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","9","83482","0.0-6.0-4.0","1","1","2025-07-09 09:00:24","7701e855f2ef39aa3fd6c71abdc6918a","176.166.46.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","Macintosh","Chrome","133.0.0.0","OS X","10_15_7","https://app.prolific.com/","fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7","6133593ca9cb1c01cc4c8de4","686d226cabeef709c732f8e1","686e2f91df7003a12f469bb3","6133593ca9cb1c01cc4c8de4","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
