"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"5771","1752052483261","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","5777","0.0-0.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","2025-07-09T09:14:43.263Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40373","","","","instructions","1","46153","0.0-1.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","[{""page_index"":0,""viewing_time"":34113},{""page_index"":1,""viewing_time"":6260}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18215","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","64373","0.0-2.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20486","","","","fullscreen","3","85867","0.0-4.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21651","1752052585005"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","107520","0.0-5.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","2025-07-09T09:16:25.006Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5859","","","{""age"":""30""}","survey-text","5","113385","0.0-6.0-0.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3975","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","117364","0.0-6.0-1.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6101","","","{""assigned_sex"":""female""}","survey-multi-choice","7","123467","0.0-6.0-2.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7682","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","131152","0.0-6.0-3.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15064","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","9","146218","0.0-6.0-4.0","184","1","2025-07-09 09:14:07","7701e855f2ef39aa3fd6c71abdc6918a","5.184.201.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9","5c39ed7a688b59000102a145","686d226cabeef709c732f8e1","686e3135e949f10d8c5d74c0","5c39ed7a688b59000102a145","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
