"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"12463","1751451999546","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","12466","0.0-0.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","2025-07-02T10:26:39.548Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61487","","","","instructions","1","73955","0.0-1.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","[{""page_index"":0,""viewing_time"":54462},{""page_index"":1,""viewing_time"":7024}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29032","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","102991","0.0-2.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14610","","","","fullscreen","3","118611","0.0-4.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18269","1751452123963"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","136882","0.0-5.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","2025-07-02T10:28:43.964Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4624","","","{""age"":""25""}","survey-text","5","141511","0.0-6.0-0.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19512","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","161024","0.0-6.0-1.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5780","","","{""assigned_sex"":""male""}","survey-multi-choice","7","166806","0.0-6.0-2.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5580","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","172387","0.0-6.0-3.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96162","","","{""education"":""Others""}","survey-multi-choice","9","268551","0.0-6.0-4.0","187","1","2025-07-02 10:25:58","80fe4187154257d5fb01684ea91b68b9","41.13.108.213","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6516ef80edad82a92cb27fb9","683db6dfa200031b80f2a654","68650782ec89b9bf8993aed8","6516ef80edad82a92cb27fb9","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
