"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"33962","1751451631129","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","33967","0.0-0.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","2025-07-02T10:20:31.132Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"311711","","","","instructions","1","345690","0.0-1.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","[{""page_index"":0,""viewing_time"":304568},{""page_index"":1,""viewing_time"":7142}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4235","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","349930","0.0-2.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27207","","","","fullscreen","3","378144","0.0-4.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22854","1751451998164"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","401000","0.0-5.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","2025-07-02T10:26:38.164Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4428","","","{""age"":""23""}","survey-text","5","405433","0.0-6.0-0.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1981","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","407416","0.0-6.0-1.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4201","","","{""assigned_sex"":""male""}","survey-multi-choice","7","411622","0.0-6.0-2.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"349142","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","760778","0.0-6.0-3.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7283","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","768068","0.0-6.0-4.0","117","1","2025-07-02 10:19:55","80fe4187154257d5fb01684ea91b68b9","197.185.139.160","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","678bad003d15e6aba1ee5a5d","683db6dfa200031b80f2a654","686507810601f7df3da28c55","678bad003d15e6aba1ee5a5d","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
