"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"83547","1751452923796","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","83552","0.0-0.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","2025-07-02T10:42:03.798Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12874","","","","instructions","1","96428","0.0-1.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","[{""page_index"":0,""viewing_time"":8556},{""page_index"":1,""viewing_time"":4318}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9640","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","106071","0.0-2.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24159","","","","fullscreen","3","131235","0.0-4.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6064","1751452977545"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","137299","0.0-5.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","2025-07-02T10:42:57.546Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5178","","","{""age"":""22""}","survey-text","5","142483","0.0-6.0-0.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4045","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","146530","0.0-6.0-1.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6169","","","{""assigned_sex"":""male""}","survey-multi-choice","7","152701","0.0-6.0-2.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4272","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","156975","0.0-6.0-3.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4200","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","9","161177","0.0-6.0-4.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9838","","","{""education"":""Doctoral Degree (e.g., PhD)""}","survey-multi-choice","10","171015","0.0-6.0-5.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","2025-07-02T10:43:31.261Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23757","","","{""mental_health_condition"":""no"",""mental_health_treatment"":""no"",""psychiatric_medication"":""no""}","survey-text","11","194774","0.0-7.0-0.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","2025-07-02T10:43:55.021Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13754","","","{""depression_history"":[""Yes""]}","survey-multi-select","12","208543","0.0-7.0-1.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","","","[0]","","","","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13129","","","{""depression_episodes"":""1-2"",""depression_recent"":""More than 1 year ago""}","survey-multi-choice","13","221674","0.0-7.0-2.0-0.0","210","1","2025-07-02 10:40:37","80fe4187154257d5fb01684ea91b68b9","41.122.216.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6814aa905ee9dc10b46bd758","683db6dfa200031b80f2a654","68650783f098e34caa7cee1e","6814aa905ee9dc10b46bd758","2025-07-02T10:44:21.920Z","","[0,1]","","","3","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
